# Wall shear stress
# Time        	patch         	min           	max           
100           	upperWall	(-4.300264e+01 -4.623927e-02 -2.645755e-19)	(7.064358e+00 3.069764e+01 1.974313e-19)
100           	lowerWall	(-1.273723e+01 -1.364274e+00 -3.022376e-18)	(1.860361e+01 3.119689e+01 1.616865e-18)
200           	upperWall	(-1.303037e+01 -1.846316e-01 -1.164679e-18)	(7.670335e+00 1.815625e-01 2.128758e-19)
200           	lowerWall	(-1.192941e+01 -8.222154e-01 -9.217312e-19)	(1.899164e+02 3.925306e+00 5.280298e-18)
300           	upperWall	(-1.365868e+01 -2.902153e-01 -1.066549e-18)	(7.336060e+00 1.713731e-01 8.028323e-19)
300           	lowerWall	(-7.247017e+00 -5.538856e+02 -1.701290e-17)	(1.727205e+03 8.544374e+02 1.081177e-17)
400           	upperWall	(-1.211127e+01 -1.956467e-01 -1.225149e-18)	(1.021053e+02 3.199059e+00 1.334159e-17)
400           	lowerWall	(-1.278692e+01 -2.849848e-01 -6.228604e-18)	(8.949332e+00 6.192357e+00 1.102929e-17)
500           	upperWall	(-8.879574e+01 -1.359689e+01 -9.668278e-20)	(4.688288e+01 2.155278e+01 3.906095e-16)
500           	lowerWall	(-2.514572e+03 -1.361028e+05 -9.808451e-19)	(1.531631e+02 2.310058e-01 1.181893e-18)
600           	upperWall	(-5.721058e+01 -5.563472e+00 -3.951085e-17)	(7.642902e+00 1.922648e-01 4.571946e-17)
600           	lowerWall	(-1.147211e+02 -9.193262e+01 -2.007782e-16)	(6.695201e+02 3.301947e+00 2.114474e-16)
700           	upperWall	(-1.516813e+02 -2.168886e+01 -2.322170e-16)	(6.536388e+01 2.544173e+00 2.668211e-16)
700           	lowerWall	(-1.750764e+02 -1.413462e+02 -2.226906e-15)	(1.328715e+02 1.186128e+01 2.623240e-15)
800           	upperWall	(-8.620006e+01 -1.577823e+01 -1.441847e-16)	(4.689589e+01 4.939146e+00 6.544624e-17)
800           	lowerWall	(-1.171417e+03 -2.454534e+02 -4.812521e-16)	(1.754052e+01 3.062872e+02 3.385789e-15)
900           	upperWall	(-4.858273e+01 -7.555650e+00 -5.642682e-17)	(8.309008e+01 8.416070e-01 6.256773e-17)
900           	lowerWall	(-1.673207e+03 -5.119586e+00 -3.054281e-15)	(1.150060e+01 1.693156e+02 1.370420e-15)
1000          	upperWall	(-2.834407e+01 -1.365994e+00 -7.526339e-18)	(1.893695e+01 4.497363e+00 1.769304e-17)
1000          	lowerWall	(-2.460799e+01 -1.132764e+01 -9.862012e-17)	(1.446261e+01 4.908696e-01 9.540264e-17)
