# Wall shear stress
# Time        	patch         	min           	max           
1100          	upperWall	(-6.091532e+01 -1.766874e+01 -1.094958e-16)	(1.127517e+01 2.150251e-01 1.425861e-16)
1100          	lowerWall	(-7.229359e+01 -8.154395e+01 -8.350521e-16)	(1.525276e+01 6.000143e+00 1.199132e-15)
1200          	upperWall	(-1.505567e+02 -2.261966e+01 -1.156390e-16)	(3.678045e+02 1.354325e+01 4.398924e-17)
1200          	lowerWall	(-8.308205e+02 -6.012833e+02 -9.222000e-16)	(2.476640e+02 2.750988e+00 4.154493e-16)
1300          	upperWall	(-4.993119e+01 -2.214738e+00 -1.644906e-17)	(3.749262e+01 3.084043e-01 1.705188e-17)
1300          	lowerWall	(-2.451755e+03 -6.569155e+04 -1.408829e-16)	(1.983168e+02 1.469776e+00 2.419952e-16)
1400          	upperWall	(-3.311058e+01 -1.338459e+00 -1.473993e-17)	(1.890566e+01 4.176027e-01 3.402946e-18)
1400          	lowerWall	(-1.840052e+02 -2.430521e+02 -3.938515e-17)	(3.167308e+02 2.724905e+00 1.011216e-16)
1500          	upperWall	(-6.208485e+01 -5.987965e-01 -3.803294e-18)	(6.234783e+01 1.369458e+00 3.739023e-18)
1500          	lowerWall	(-1.271588e+02 -3.783433e+00 -1.860198e-17)	(2.005324e+02 2.288214e+02 2.801995e-17)
1600          	upperWall	(-9.170688e+01 -4.369311e-01 -6.836267e-18)	(8.089293e+01 7.934763e-01 5.639204e-18)
1600          	lowerWall	(-2.917308e+01 -8.582216e+01 -1.096320e-17)	(3.496908e+01 4.371187e+00 1.051865e-17)
1700          	upperWall	(-7.437606e+01 -1.648378e-01 -8.346558e-18)	(3.855489e+01 5.915958e+00 9.086824e-18)
1700          	lowerWall	(-9.180741e+01 -1.177375e+01 -1.519845e-17)	(1.752576e+02 8.789836e-01 1.098888e-17)
1800          	upperWall	(-2.439497e+01 -1.431041e-01 -2.216397e-18)	(1.423460e+01 1.104040e-01 1.624896e-18)
1800          	lowerWall	(-5.260358e+01 -1.321004e+01 -9.517121e-18)	(5.890327e+01 1.481786e+01 8.861778e-18)
1900          	upperWall	(-4.000059e+01 -1.432915e-01 -5.179497e-18)	(2.029446e+01 2.227482e-01 5.053138e-18)
1900          	lowerWall	(-5.255099e+01 -1.424287e+02 -2.925263e-17)	(1.894728e+03 1.094136e+00 7.823047e-17)
2000          	upperWall	(-1.996693e+01 -2.757720e-01 -1.142131e-18)	(1.109429e+01 2.290571e-01 1.212759e-18)
2000          	lowerWall	(-1.639484e+03 -7.931680e+01 -7.030050e-18)	(9.403133e+00 8.660559e+02 3.667789e-18)
