    # ccx tau_xx tau_yy tau_zz
-1.36984 -3.62961 -0.0160987 0
-1.31652 -1.48619 -0.000356095 0
-1.26514 -1.12458 -7.88866e-05 0
-1.21564 -0.947838 -3.96442e-05 0
-1.16794 -0.842331 -2.86791e-05 0
-1.12198 -0.76915 -1.82292e-05 0
-1.07769 -0.713947 -1.77179e-05 0
-1.03502 -0.670107 -1.21216e-05 0
-0.993906 -0.633071 -1.31269e-05 0
-0.95429 -0.602754 -8.99383e-06 0
-0.916118 -0.574901 -1.04506e-05 0
-0.879338 -0.55161 -7.26136e-06 0
-0.843898 -0.528993 -8.63033e-06 0
-0.809751 -0.509952 -6.09986e-06 0
-0.776848 -0.490686 -7.19787e-06 0
-0.745145 -0.474302 -5.13216e-06 0
-0.714598 -0.457267 -5.89106e-06 0
-0.685165 -0.442581 -4.1249e-06 0
-0.656804 -0.427132 -4.55579e-06 0
-0.629478 -0.413594 -3.00336e-06 0
-0.603148 -0.399359 -3.1764e-06 0
-0.577777 -0.386673 -1.8102e-06 0
-0.553332 -0.373446 -1.79194e-06 0
-0.529778 -0.361472 -5.86033e-07 0
-0.507082 -0.349165 -4.02721e-07 0
-0.485214 -0.337906 6.37194e-07 0
-0.464144 -0.326555 8.68217e-07 0
-0.443841 -0.316124 1.58424e-06 0
-0.424279 -0.305836 1.58354e-06 0
-0.405429 -0.29639 1.76286e-06 0
-0.387267 -0.287294 1.34647e-06 0
-0.369768 -0.278973 9.15575e-07 0
-0.352906 -0.271032 9.00211e-08 0
-0.336659 -0.263659 -7.71734e-07 0
-0.321004 -0.256678 -1.63416e-06 0
-0.30592 -0.250239 -2.52865e-06 0
-0.291385 -0.244365 -3.21862e-06 0
-0.277381 -0.239147 -4.00297e-06 0
-0.263887 -0.234723 -4.54856e-06 0
-0.250886 -0.231145 -5.06899e-06 0
-0.238358 -0.228608 -5.26444e-06 0
-0.226287 -0.227149 -4.9921e-06 0
-0.214656 -0.227016 -4.16295e-06 0
-0.203449 -0.228281 -2.21902e-06 0
-0.192651 -0.231269 4.68476e-07 0
-0.182246 -0.236147 4.81475e-06 0
-0.172221 -0.243369 9.76465e-06 0
-0.162561 -0.253268 1.65673e-05 0
-0.153253 -0.266448 2.36238e-05 0
-0.144285 -0.283329 3.25654e-05 0
-0.135643 -0.304002 4.17029e-05 0
-0.127317 -0.327601 5.85959e-05 0
-0.119294 -0.35441 7.48879e-05 0
-0.111564 -0.380845 0.000130982 0
-0.104115 -0.412194 0.000146107 0
-0.0969384 -0.444721 0.00027961 0
-0.0900231 -0.489086 0.000231922 0
-0.0833599 -0.541665 0.000419955 0
-0.0769397 -0.612928 0.000255049 0
-0.0707535 -0.69321 0.000449488 0
-0.0647929 -0.793557 0.000194174 0
-0.0590495 -0.902513 0.000446419 0
-0.0535156 -1.03051 0.000193469 0
-0.0490611 -1.11548 0.000972826 0
-0.0456683 -1.18739 0.000112729 0
-0.0424415 -1.27341 0.00143441 0
-0.0393727 -1.3762 0.000495021 0
-0.0364539 -1.47535 0.00242382 0
-0.033678 -1.55869 0.00142397 0
-0.0310379 -1.65902 0.00363359 0
-0.028527 -1.74811 0.00267627 0
-0.0261389 -1.86721 0.00378894 0
-0.0238677 -1.99235 0.00289501 0
-0.0217076 -2.12727 0.00274854 0
-0.0196531 -2.27131 0.00203416 0
-0.0176993 -2.4097 0.00220015 0
-0.015841 -2.54962 0.00192787 0
-0.0140736 -2.6964 0.00291145 0
-0.0123927 -2.8592 0.00298979 0
-0.010794 -3.04704 0.00428955 0
-0.0092736 -3.28303 0.00421218 0
-0.00782755 -3.54914 0.00576404 0
-0.00645226 -3.89823 0.00562148 0
-0.00514426 -4.26426 0.00775106 0
-0.00390026 -4.80863 0.0085335 0
-0.00271712 -5.28003 0.0143012 0
-0.00159187 -6.57271 0.0104512 0
-0.000521677 -5.4658 0.162604 0
0 -0.3139 -11.3276 0
0 -0.174154 -1.84915 0
0 -0.2153 -0.952574 -4.469e-20
0 -0.301455 -0.187371 4.96071e-20
0 -0.278366 0.33131 0
0 -0.245606 0.49087 0
0 -0.200116 0.454959 0
0 -0.148336 0.366879 0
0 -0.112533 0.240024 0
0 -0.113642 0.1746 1.03626e-18
0 -0.110626 0.196828 -8.74575e-19
0 -0.0639728 0.27732 1.51195e-18
0 0.0465902 0.343631 -1.33139e-18
0 0.157143 0.308567 0
0 0.255915 0.234528 -2.4462e-18
0 0.33125 0.162825 3.84256e-18
0 0.429341 0.0560927 0
0 0.462268 -0.111953 0
0 0.546313 -0.335669 0
0 0.812431 -0.885966 -4.55582e-18
0 0.928079 -1.67063 4.71334e-18
0 0.872433 -2.60367 -9.30967e-18
0 0.643191 -3.55 9.31929e-18
0 0.23418 -4.21045 0
0 -0.209046 -4.1363 -1.90753e-17
0 -0.519822 -3.50551 1.85767e-17
0 -0.67678 -2.68157 0
0 -0.708826 -1.89654 0
0 -0.656582 -1.24518 0
0 -0.55385 -0.750389 0
0 -0.427385 -0.403209 0
0 -0.300398 -0.180514 0
0 -0.236542 -0.0681376 2.73036e-17
0 -0.217452 0.054441 1.87551e-20
0 -0.105164 0.366233 -9.86201e-17
0 0.227253 0.384944 0
0 0.285677 0.0746516 0
0 0.251201 0.0111873 0
0 0.280415 0.0177226 0
0 0.279769 0.00329332 0
0 0.278554 -0.00250208 -7.76135e-17
0 0.273545 0.0445098 9.54026e-17
0 0.294838 -0.102886 0
0 0.257517 -0.469382 0
0 0.143982 -1.00717 0
0 -0.0787702 -1.82584 2.33505e-17
0 -0.358747 -3.00977 -1.42682e-17
0 -0.677656 -3.75916 0
0.000523711 -2.69352 -0.165732 0
0.00157113 -4.66649 0.00152091 2.5189e-20
0.00261856 -2.91007 -0.00730232 0
0.00366598 -3.99365 0.0238026 2.51459e-20
0.0047134 -3.18034 -0.00494958 0
0.00576082 2.94885 -0.049531 0
0.00680825 9.16821 -0.0507609 0
0.00785567 12.8891 -0.0328958 0
0.00890309 14.4626 -0.0222098 0
0.00995052 14.1507 -0.01095 2.53321e-20
0.0109979 12.3563 -0.000197769 0
0.0120454 9.86706 0.00641987 0
0.0130928 5.81851 0.0195963 0
0.0141402 -0.54668 0.0506183 0
0.0151876 -7.19142 0.0575727 0
0.0162351 -11.1349 0.0365085 0
0.0172825 -11.7564 0.0113158 0
0.0183299 -9.95518 -0.0183868 0
0.0193773 -5.52996 -0.0263607 0
0.0204247 -3.3886 -0.020827 0
0.0214722 -7.60788 0.050965 -2.56699e-20
0.0225196 -6.6538 0.0089707 0
0.023567 -0.433592 -0.0669814 -2.54896e-20
0.0246144 1.25343 -0.0652162 0
0.0256619 2.36972 -0.00193059 -2.55036e-20
0.0267093 1.60489 0.0295495 0
0.0277567 -3.12107 0.0394571 -2.56154e-20
