# Wall shear stress
# Time        	patch         	min           	max           
100           	upperWall	(-1.539369e+01 -4.892320e-02 -3.899159e-19)	(-7.601634e+00 2.867599e-03 1.784040e-19)
100           	lowerWall	(-1.545015e+01 -3.506176e+00 -8.159970e-19)	(4.508588e+00 1.699643e-01 1.273341e-18)
200           	upperWall	(-1.242313e+01 -7.623459e-03 -7.556560e-20)	(-5.511401e+00 5.095698e-04 5.978152e-20)
200           	lowerWall	(-3.812263e+03 -6.056466e-01 -2.933691e-19)	(6.206183e+00 4.144180e+04 3.360587e-19)
300           	upperWall	(-9.238035e+00 -6.611702e-03 -6.409959e-20)	(-4.797207e+00 9.242708e-04 4.674341e-20)
300           	lowerWall	(-9.103672e+00 -1.384940e+01 -5.844496e-19)	(6.297027e+00 5.517898e-01 5.746091e-19)
400           	upperWall	(-9.334988e+00 -1.878046e-03 -2.175179e-20)	(-4.506853e+00 1.673516e-03 1.821412e-20)
400           	lowerWall	(-9.387692e+00 -5.414940e-01 -8.139346e-19)	(5.337404e+00 1.709368e+00 8.466201e-19)
500           	upperWall	(-9.572350e+00 -3.466539e-03 -3.988858e-20)	(-4.235999e+00 2.348695e-03 1.463613e-20)
500           	lowerWall	(-9.638911e+00 -5.138678e-01 -9.958226e-19)	(3.861721e+00 8.812448e+00 1.069608e-18)
600           	upperWall	(-9.785743e+00 -3.690179e-03 -4.204341e-20)	(-4.198536e+00 3.020602e-03 1.707651e-20)
600           	lowerWall	(-9.860552e+00 -1.556470e+01 -1.035612e-18)	(3.297726e+00 7.227021e-02 1.234881e-18)
700           	upperWall	(-9.977728e+00 -3.517738e-03 -4.035427e-20)	(-4.150652e+00 3.545915e-03 1.264342e-20)
700           	lowerWall	(-2.450273e+01 -2.381341e+01 -1.036245e-18)	(3.131159e+00 7.200526e-02 1.154552e-18)
800           	upperWall	(-1.014113e+01 -3.470658e-03 -3.948094e-20)	(-4.172743e+00 4.133893e-03 1.226932e-20)
800           	lowerWall	(-1.023615e+01 -8.082580e+00 -1.014479e-18)	(3.075403e+00 7.192843e-02 1.198271e-18)
900           	upperWall	(-1.029064e+01 -3.496307e-03 -3.960728e-20)	(-4.180938e+00 4.640912e-03 1.270585e-20)
900           	lowerWall	(-1.038995e+01 -3.764538e+00 -1.005038e-18)	(7.658984e+01 7.246432e+02 1.094370e-18)
1000          	upperWall	(-1.040815e+01 -3.476930e-03 -3.928298e-20)	(-4.172719e+00 5.125127e-03 1.250721e-20)
1000          	lowerWall	(-1.051793e+01 -4.868623e-01 -1.014440e-18)	(3.036160e+00 3.916331e+00 1.228186e-18)
1100          	upperWall	(-1.051823e+01 -3.456121e-03 -3.892593e-20)	(-4.161469e+00 5.592551e-03 1.225536e-20)
1100          	lowerWall	(-1.063320e+01 -4.328423e+00 -1.093609e-18)	(3.019109e+00 7.176969e-02 1.200118e-18)
1200          	upperWall	(-1.061533e+01 -3.437178e-03 -3.856254e-20)	(-4.148223e+00 6.034227e-03 1.217400e-20)
1200          	lowerWall	(-1.073311e+01 -3.709520e+00 -1.024622e-18)	(3.002736e+00 1.154817e-01 1.133189e-18)
1300          	upperWall	(-1.070109e+01 -3.419291e-03 -3.821684e-20)	(-4.135729e+00 6.460483e-03 1.221287e-20)
1300          	lowerWall	(-1.082024e+01 -6.173802e+00 -1.036738e-18)	(2.986910e+00 7.168834e-02 1.146585e-18)
1400          	upperWall	(-1.077621e+01 -3.401539e-03 -3.785595e-20)	(-4.122521e+00 6.875389e-03 1.224497e-20)
1400          	lowerWall	(-1.567861e+04 -4.803249e-01 -1.063163e-18)	(2.971961e+00 1.341598e+05 1.186374e-18)
1500          	upperWall	(-1.082382e+01 -3.386022e-03 -3.752391e-20)	(-4.109841e+00 7.284194e-03 1.227699e-20)
1500          	lowerWall	(-1.094009e+01 -4.788366e-01 -1.032085e-18)	(2.957819e+00 3.242944e+00 1.141952e-18)
1600          	upperWall	(-1.087098e+01 -3.368720e-03 -3.717475e-20)	(-4.097260e+00 7.669647e-03 1.231161e-20)
1600          	lowerWall	(-1.098108e+01 -1.083195e+01 -1.155048e-18)	(7.367185e+00 7.154347e-02 1.195370e-18)
1700          	upperWall	(-1.089882e+01 -3.352763e-03 -3.680873e-20)	(-4.083473e+00 8.061318e-03 1.233208e-20)
1700          	lowerWall	(-1.100506e+01 -5.540229e+00 -1.106678e-18)	(2.930324e+00 7.151600e-02 1.175213e-18)
1800          	upperWall	(-1.090850e+01 -3.339929e-03 -3.649569e-20)	(-4.070958e+00 8.443617e-03 1.235717e-20)
1800          	lowerWall	(-1.741916e+02 -4.746826e-01 -1.091261e-18)	(2.917972e+00 8.099510e+03 1.178183e-18)
1900          	upperWall	(-1.090487e+01 -3.324213e-03 -3.612906e-20)	(-4.057709e+00 8.803555e-03 1.237944e-20)
1900          	lowerWall	(-1.098478e+01 -5.264737e+01 -1.035322e-18)	(1.792323e+02 7.144115e-02 1.145344e-18)
2000          	upperWall	(-1.088052e+01 -3.312233e-03 -3.579532e-20)	(-4.044009e+00 9.168042e-03 1.238767e-20)
2000          	lowerWall	(-1.094079e+01 -4.722953e-01 -1.032110e-18)	(2.892263e+00 7.141475e-02 1.149321e-18)
