# Wall shear stress
# Time        	patch         	min           	max           
200           	upperWall	(-2.031027e+01 -7.707056e-03 -1.118569e-19)	(-6.614403e+00 9.433749e-04 1.346133e-19)
200           	lowerWall	(-3.835876e+02 -6.785570e-01 -2.895587e-19)	(3.175172e+02 7.423566e+02 6.171320e-19)
300           	upperWall	(-1.597870e+01 -7.220300e-03 -7.555314e-20)	(-5.715574e+00 6.503833e-04 6.469850e-20)
300           	lowerWall	(-1.590852e+01 -5.863335e+00 -3.118225e-19)	(7.196886e+00 7.662127e-02 3.536785e-19)
400           	upperWall	(-1.651898e+01 -6.663205e-03 -6.885750e-20)	(-5.125335e+00 6.532925e-04 5.303713e-20)
400           	lowerWall	(-1.644138e+01 -5.722000e-01 -6.102476e-19)	(5.056557e+00 4.195024e+00 6.741240e-19)
500           	upperWall	(-1.675999e+01 -5.086882e-03 -4.319589e-20)	(-4.729824e+00 7.493171e-04 2.720683e-20)
500           	lowerWall	(-1.670400e+01 -5.473239e-01 -9.401199e-19)	(1.292607e+01 3.259965e+01 1.119999e-18)
600           	upperWall	(-1.697054e+01 -3.516313e-03 -3.855856e-20)	(-4.381800e+00 8.370487e-04 1.262254e-20)
600           	lowerWall	(-1.693679e+01 -2.536977e+00 -1.090370e-18)	(3.599595e+00 7.262361e-02 1.180074e-18)
700           	upperWall	(-1.717583e+01 -3.681362e-03 -4.433809e-20)	(-4.366695e+00 9.192577e-04 1.606159e-20)
700           	lowerWall	(-1.716251e+01 -8.705069e-01 -9.859486e-19)	(3.502219e+00 2.183309e+00 1.224082e-18)
800           	upperWall	(-1.733985e+01 -3.881951e-03 -4.624394e-20)	(-4.416596e+00 9.973075e-04 1.815626e-20)
800           	lowerWall	(-1.734725e+01 -5.341872e-01 -1.029431e-18)	(3.476523e+00 7.545532e+00 1.121561e-18)
