# Wall shear stress
# Time        	patch         	min           	max           
100           	upperWall	(-1.323387e+01 -1.170810e-01 -5.984925e-19)	(-4.522996e+00 1.027791e-03 6.059162e-19)
100           	lowerWall	(-1.353942e+01 -1.791200e+00 -2.320138e-18)	(1.798938e+00 8.245255e+00 3.977148e-18)
200           	upperWall	(-1.419346e+01 -9.756446e-02 -1.043018e-19)	(-3.889052e+00 1.214919e-03 1.275565e-19)
200           	lowerWall	(-1.422648e+01 -6.549020e+00 -5.321060e-19)	(5.793036e+01 1.937808e-01 7.091028e-19)
300           	upperWall	(-1.395981e+01 -8.645439e-02 -2.767553e-20)	(-3.785099e+00 1.296751e-03 2.139892e-20)
300           	lowerWall	(-1.399240e+01 -7.247206e+00 -2.329667e-19)	(5.485216e+02 1.922224e+01 3.307797e-19)
400           	upperWall	(-1.372339e+01 -7.704223e-02 -3.001507e-20)	(-3.556951e+00 1.357811e-03 1.616303e-20)
400           	lowerWall	(-1.377111e+01 -4.189647e+00 -6.532150e-19)	(5.391372e+00 8.360337e-02 7.227796e-19)
500           	upperWall	(-1.357421e+01 -6.902864e-02 -3.723074e-20)	(-3.152512e+00 1.406606e-03 2.374434e-20)
500           	lowerWall	(-1.364596e+01 -4.997614e+04 -2.229970e-18)	(3.688411e+02 7.778714e-02 1.311390e-18)
600           	upperWall	(-1.345931e+01 -6.211305e-02 -4.089627e-20)	(-2.962525e+00 1.449211e-03 2.619798e-20)
600           	lowerWall	(-2.698939e+01 -6.343506e+00 -2.854385e-18)	(2.324395e+00 2.645347e+00 1.693973e-18)
700           	upperWall	(-1.335016e+01 -5.602870e-02 -4.246060e-20)	(-2.783730e+00 1.487615e-03 1.801519e-20)
700           	lowerWall	(-1.342806e+01 -4.009665e-01 -1.125671e-18)	(3.363970e+01 5.443005e+00 1.872678e-18)
800           	upperWall	(-1.324484e+01 -5.062170e-02 -3.935981e-20)	(-2.735230e+00 1.522354e-03 1.761622e-20)
800           	lowerWall	(-4.615501e+01 -7.012988e+00 -1.241412e-18)	(1.922145e+00 6.680276e+00 1.806092e-18)
900           	upperWall	(-1.314435e+01 -4.575251e-02 -3.935754e-20)	(-2.758630e+00 1.554766e-03 1.720534e-20)
900           	lowerWall	(-1.339443e+01 -1.056847e+01 -1.076040e-18)	(3.534547e+00 9.568890e-02 1.205367e-18)
1000          	upperWall	(-1.325143e+01 -4.140081e-02 -3.963264e-20)	(-2.763372e+00 1.582352e-03 1.729016e-20)
1000          	lowerWall	(-1.361473e+01 -4.970057e+00 -1.056827e-18)	(1.910688e+00 3.208740e-01 1.601217e-18)
