# Wall shear stress
# Time        	patch         	min           	max           
100           	upperWall	(-7.451405e+00 -2.352935e-02 -1.783121e-19)	(-3.583743e+00 3.918531e-04 1.382386e-19)
100           	lowerWall	(-7.553221e+00 -1.270404e+01 -7.046540e-19)	(1.121738e+00 7.666406e-02 1.226659e-18)
200           	upperWall	(-8.639834e+00 -8.851752e-03 -4.190313e-20)	(-3.530737e+00 5.270948e-04 2.960682e-20)
200           	lowerWall	(-1.069707e+02 -5.341652e+00 -8.381402e-19)	(2.791157e+00 3.033927e+02 4.891456e-19)
300           	upperWall	(-8.983731e+00 -7.850908e-03 -3.615826e-20)	(-3.144011e+00 5.821295e-04 2.225368e-20)
300           	lowerWall	(-9.781935e+02 -1.028364e+01 -8.729331e-19)	(4.092264e+02 1.519554e+02 1.018347e-18)
400           	upperWall	(-9.222313e+00 -7.086404e-03 -3.890018e-20)	(-2.962115e+00 6.217346e-04 2.453552e-20)
400           	lowerWall	(-1.156457e+02 -1.564150e+02 -2.159836e-18)	(1.040177e+01 3.783217e-01 1.399090e-18)
500           	upperWall	(-9.425695e+00 -5.754793e-03 -4.248005e-20)	(-2.793050e+00 6.573100e-04 2.174235e-20)
500           	lowerWall	(-1.054321e+03 -8.166561e+01 -6.924944e-18)	(3.051485e+00 5.130560e-02 1.405342e-18)
600           	upperWall	(-9.609210e+00 -4.959831e-03 -3.874551e-20)	(-2.684315e+00 6.861751e-04 1.816044e-20)
600           	lowerWall	(-9.753284e+00 -4.591267e-01 -1.056764e-18)	(1.848665e+00 8.345079e+00 1.555153e-18)
700           	upperWall	(-9.769122e+00 -4.193406e-03 -3.844821e-20)	(-2.704797e+00 7.104636e-04 1.743880e-20)
700           	lowerWall	(-9.256270e+01 -8.528310e-01 -1.037824e-18)	(1.846144e+00 3.353130e+02 1.167246e-18)
800           	upperWall	(-9.910387e+00 -3.466227e-03 -3.866163e-20)	(-2.712437e+00 7.313872e-04 1.753708e-20)
800           	lowerWall	(-1.008721e+01 -1.037125e+02 -9.545677e-19)	(1.833464e+00 2.219111e+00 1.383320e-18)
900           	upperWall	(-1.003784e+01 -2.790711e-03 -3.858697e-20)	(-2.712457e+00 7.495731e-04 1.733615e-20)
900           	lowerWall	(-1.296636e+03 -7.867275e-01 -9.561208e-19)	(1.830622e+00 3.847242e+04 1.263850e-18)
1000          	upperWall	(-1.014790e+01 -2.816876e-03 -3.858049e-20)	(-2.711202e+00 7.647869e-04 1.751746e-20)
1000          	lowerWall	(-1.035199e+01 -2.050123e+00 -9.345995e-19)	(1.825187e+00 3.906400e-02 1.388276e-18)
1100          	upperWall	(-1.024490e+01 -2.792105e-03 -3.855563e-20)	(-2.709552e+00 7.776822e-04 1.736669e-20)
1100          	lowerWall	(-1.046081e+01 -3.801823e+00 -1.004610e-18)	(1.838362e+00 1.599447e-01 1.378833e-18)
1200          	upperWall	(-1.032994e+01 -2.813071e-03 -3.846026e-20)	(-2.707768e+00 7.884759e-04 1.752923e-20)
1200          	lowerWall	(-7.520076e+01 -1.700335e+00 -8.742987e-19)	(1.818765e+00 1.075599e+01 1.256189e-18)
1300          	upperWall	(-1.040481e+01 -2.793355e-03 -3.852264e-20)	(-2.705779e+00 7.975530e-04 1.738352e-20)
1300          	lowerWall	(-9.712661e+01 -7.253967e-01 -1.165229e-18)	(1.835543e+00 8.454120e+03 1.170265e-18)
1400          	upperWall	(-1.046863e+01 -2.809437e-03 -3.835196e-20)	(-2.703782e+00 8.048320e-04 1.753251e-20)
1400          	lowerWall	(-1.071337e+01 -4.909400e-01 -9.211785e-19)	(5.851536e+00 7.842070e+00 1.198281e-18)
1500          	upperWall	(-1.052311e+01 -2.797449e-03 -3.847588e-20)	(-2.701738e+00 8.356899e-04 1.743804e-20)
1500          	lowerWall	(-1.077516e+01 -7.049979e-01 -1.000543e-18)	(1.821271e+00 2.124579e+00 1.312291e-18)
1600          	upperWall	(-1.056882e+01 -2.805513e-03 -3.824058e-20)	(-2.699568e+00 1.337931e-03 1.750841e-20)
1600          	lowerWall	(-1.082715e+01 -3.959233e+00 -8.579284e-19)	(1.811207e+00 2.084779e-01 1.258299e-18)
1700          	upperWall	(-1.060609e+01 -2.802887e-03 -3.843442e-20)	(-2.697225e+00 1.813253e-03 1.748991e-20)
1700          	lowerWall	(-4.372891e+01 -9.648496e+00 -1.055436e-18)	(1.804726e+00 5.367600e+00 1.401548e-18)
1800          	upperWall	(-1.063379e+01 -2.796090e-03 -3.811579e-20)	(-2.694947e+00 2.264794e-03 1.748596e-20)
1800          	lowerWall	(-1.090073e+01 -2.305036e+02 -9.755640e-19)	(1.813583e+00 2.932190e-02 1.135577e-18)
1900          	upperWall	(-1.065235e+01 -2.812825e-03 -3.835838e-20)	(-2.692599e+00 2.693001e-03 1.757934e-20)
1900          	lowerWall	(-1.092212e+01 -6.565331e-01 -1.215485e-18)	(1.954526e+00 2.306369e+00 1.867038e-18)
2000          	upperWall	(-1.066391e+01 -2.788661e-03 -3.806546e-20)	(-2.689946e+00 3.098788e-03 1.744466e-20)
2000          	lowerWall	(-1.093572e+01 -4.129797e+00 -9.381968e-19)	(1.807511e+00 4.529508e+00 1.328849e-18)
