    # ccx tau_xx tau_yy tau_zz
-1.36984 -13.6147 0.0421646 0
-1.31652 -13.136 -0.00170507 0
-1.26514 -9.52582 -0.000580717 0
-1.21564 -9.17646 -0.000380201 0
-1.16794 -7.7085 -0.000183189 0
-1.12198 -7.44727 -0.000152162 0
-1.07769 -6.75247 -9.89289e-05 0
-1.03502 -6.49548 -8.44547e-05 0
-0.993906 -6.12671 -6.65929e-05 0
-0.95429 -5.90553 -5.73336e-05 0
-0.916118 -5.68006 -4.94053e-05 0
-0.879338 -5.50617 -4.36061e-05 0
-0.843898 -5.34901 -3.89593e-05 0
-0.809751 -5.21579 -3.51792e-05 0
-0.776848 -5.09757 -3.21027e-05 0
-0.745145 -4.99407 -2.94604e-05 0
-0.714598 -4.90173 -2.72901e-05 0
-0.685165 -4.81938 -2.5366e-05 0
-0.656804 -4.74545 -2.3738e-05 0
-0.629478 -4.67866 -2.22992e-05 0
-0.603148 -4.61826 -2.10389e-05 0
-0.577777 -4.56322 -1.99408e-05 0
-0.553332 -4.513 -1.89455e-05 0
-0.529778 -4.46702 -1.8051e-05 0
-0.507082 -4.42483 -1.72602e-05 0
-0.485214 -4.38594 -1.65625e-05 0
-0.464144 -4.35 -1.591e-05 0
-0.443841 -4.31678 -1.53167e-05 0
-0.424279 -4.28596 -1.47846e-05 0
-0.405429 -4.25734 -1.42972e-05 0
-0.387267 -4.23067 -1.38545e-05 0
-0.369768 -4.2058 -1.34474e-05 0
-0.352906 -4.18257 -1.30674e-05 0
-0.336659 -4.16084 -1.27155e-05 0
-0.321004 -4.14048 -1.23936e-05 0
-0.30592 -4.12139 -1.20942e-05 0
-0.291385 -4.10346 -1.18136e-05 0
-0.277381 -4.0866 -1.15538e-05 0
-0.263887 -4.07074 -1.13045e-05 0
-0.250886 -4.05581 -1.10664e-05 0
-0.238358 -4.04175 -1.08378e-05 0
-0.226287 -4.02851 -1.06156e-05 0
-0.214656 -4.01603 -1.0389e-05 0
-0.203449 -4.00429 -1.01621e-05 0
-0.192651 -3.99324 -9.9212e-06 0
-0.182246 -3.9829 -9.66712e-06 0
-0.172221 -3.97319 -9.382e-06 0
-0.162561 -3.96417 -9.0668e-06 0
-0.153253 -3.95577 -8.69548e-06 0
-0.144285 -3.94808 -8.27294e-06 0
-0.135643 -3.94104 -7.76246e-06 0
-0.127317 -3.93476 -7.17945e-06 0
-0.119294 -3.92919 -6.47338e-06 0
-0.111564 -3.92449 -5.68997e-06 0
-0.104115 -3.92059 -4.67623e-06 0
-0.0969384 -3.91772 -3.58405e-06 0
-0.0900231 -3.9158 -2.01987e-06 0
-0.0833599 -3.91512 -3.305e-07 0
-0.0769397 -3.91561 2.11139e-06 0
-0.0707535 -3.91759 4.83804e-06 0
-0.0647929 -3.92114 8.49059e-06 0
-0.0590495 -3.92646 1.26336e-05 0
-0.0535156 -3.93397 1.84086e-05 0
-0.0490611 -3.94228 2.27271e-05 0
-0.0456683 -3.94998 2.79675e-05 0
-0.0424415 -3.95859 3.36217e-05 0
-0.0393727 -3.96825 4.23263e-05 0
-0.0364539 -3.97914 4.88303e-05 0
-0.033678 -3.99114 5.93599e-05 0
-0.0310379 -4.0044 6.72656e-05 0
-0.028527 -4.01892 8.10136e-05 0
-0.0261389 -4.03481 9.09483e-05 0
-0.0238677 -4.05225 0.000108594 0
-0.0217076 -4.07114 0.000121902 0
-0.0196531 -4.09202 0.000145338 0
-0.0176993 -4.11426 0.000165358 0
-0.015841 -4.13932 0.000199903 0
-0.0140736 -4.16508 0.00023416 0
-0.0123927 -4.19576 0.000291674 0
-0.010794 -4.2247 0.000347738 0
-0.0092736 -4.26477 0.000454737 0
-0.00782755 -4.29515 0.000513934 0
-0.00645226 -4.35339 0.000758759 0
-0.00514426 -4.38571 0.000709065 0
-0.00390026 -4.46629 0.00138299 0
-0.00271712 -4.55136 7.23879e-05 0
-0.00159187 -4.49945 0.00895479 0
-0.000521677 -5.1442 -0.00185609 0
0 -1.08867 -4.97006 0
0 0.0120868 -0.00196793 0
0 -0.00134308 -0.000612486 1.40975e-23
0 -0.00319219 -0.000702254 -1.25216e-23
0 -0.00806076 -0.00100813 0
0 -0.0097507 -0.000995953 0
0 -0.00804781 -0.00107563 0
0 -0.00738764 -0.00113724 0
0 -0.00742981 -0.00115892 0
0 -0.00801247 -0.00109169 -5.06925e-22
0 -0.00891335 -0.000898012 6.28956e-22
0 -0.0101072 -0.000522209 -1.71984e-21
0 -0.0116641 0.000138182 2.36972e-21
0 -0.0136755 0.00127824 0
0 -0.0161693 0.00327052 1.08763e-20
0 -0.0189454 0.00683848 -1.77829e-20
0 -0.0214049 0.0132882 0
0 -0.0210386 0.0238527 0
0 -0.0124339 0.0341817 0
0 -0.000865875 0.0390388 4.23697e-19
0 0.00728597 0.0388728 -3.57376e-19
0 0.0162801 0.0352021 6.47419e-19
0 0.0255784 0.0244128 -6.88599e-19
0 0.0331589 0.00470055 0
