# Wall shear stress
# Time        	patch         	min           	max           
100           	upperWall	(-3.534699e+01 -4.706746e-03 -1.235960e-19)	(-4.458943e+00 6.209583e-03 3.674835e-20)
100           	lowerWall	(-1.168342e+02 -9.252921e+00 -3.632965e-19)	(6.750006e+00 4.142948e+00 4.735797e-19)
200           	upperWall	(-2.125541e+01 -1.271317e-02 -7.327600e-20)	(-3.781850e+00 1.353250e-03 8.652650e-20)
200           	lowerWall	(-1.507676e+02 -3.357010e+00 -2.040957e-19)	(4.067243e+00 2.311503e+00 5.300696e-19)
300           	upperWall	(-1.275948e+01 -7.574296e-03 -3.045262e-20)	(-3.694340e+00 1.038531e-03 3.828836e-20)
300           	lowerWall	(-1.159694e+01 -5.613178e+03 -1.873846e-18)	(1.965558e+03 5.090038e+02 5.435156e-19)
400           	upperWall	(-1.036476e+01 -3.053729e-03 -2.468445e-20)	(-3.452443e+00 1.072988e-03 2.982301e-20)
400           	lowerWall	(-1.381848e+01 -4.033775e+00 -2.714119e-18)	(4.286000e+00 1.173696e+01 2.177499e-18)
500           	upperWall	(-1.044600e+01 -1.082298e-03 -1.523219e-20)	(-2.976808e+00 1.489009e-03 1.808020e-20)
500           	lowerWall	(-1.054575e+01 -6.289989e+00 -3.238893e-18)	(2.957084e+00 1.132609e-01 3.154336e-18)
600           	upperWall	(-1.051740e+01 -3.159216e-03 -3.233321e-20)	(-2.907643e+00 1.840635e-03 1.660520e-20)
600           	lowerWall	(-1.061216e+01 -3.463102e+00 -2.063310e-18)	(3.602549e+00 2.162858e-01 2.680135e-18)
700           	upperWall	(-1.058727e+01 -2.978444e-03 -3.138262e-20)	(-2.926496e+00 2.173150e-03 1.563885e-20)
700           	lowerWall	(-1.068105e+01 -4.118663e+03 -1.783238e-18)	(1.494899e+02 1.504741e-01 2.284288e-18)
800           	upperWall	(-1.064723e+01 -3.040363e-03 -3.194685e-20)	(-2.946629e+00 2.496463e-03 1.531627e-20)
800           	lowerWall	(-2.478883e+01 -1.463109e+01 -2.003384e-18)	(3.390709e+00 2.380409e+00 2.442569e-18)
900           	upperWall	(-1.071670e+01 -3.014727e-03 -3.162037e-20)	(-2.945057e+00 2.803206e-03 1.524834e-20)
900           	lowerWall	(-1.082037e+01 -2.703287e+04 -2.189590e-18)	(7.233895e+02 1.197660e-01 2.509221e-18)
1000          	upperWall	(-1.077284e+01 -3.020824e-03 -3.156171e-20)	(-2.943503e+00 3.106614e-03 1.522892e-20)
1000          	lowerWall	(-1.087409e+01 -3.618087e+00 -1.852730e-18)	(3.185316e+00 1.816361e-01 2.346452e-18)
1100          	upperWall	(-1.081839e+01 -2.995554e-03 -3.125239e-20)	(-2.938952e+00 3.405911e-03 1.526962e-20)
1100          	lowerWall	(-1.092275e+01 -1.307137e+01 -1.863585e-18)	(2.251282e+02 7.472993e-02 2.362294e-18)
1200          	upperWall	(-1.085122e+01 -2.981774e-03 -3.101781e-20)	(-2.934646e+00 3.696258e-03 1.529880e-20)
1200          	lowerWall	(-1.095800e+01 -5.232552e+00 -1.844956e-18)	(3.324492e+00 1.435377e-01 2.316465e-18)
1300          	upperWall	(-1.087568e+01 -2.971885e-03 -3.080046e-20)	(-2.929583e+00 3.979109e-03 1.531880e-20)
1300          	lowerWall	(-1.099002e+01 -4.988504e+00 -2.016146e-18)	(3.250894e+00 6.395597e-02 2.461237e-18)
1400          	upperWall	(-1.090335e+01 -2.951396e-03 -3.051370e-20)	(-2.924584e+00 4.254504e-03 1.534217e-20)
1400          	lowerWall	(-1.102871e+01 -6.316027e+03 -1.865835e-18)	(2.443714e+02 1.377058e-01 2.421852e-18)
1500          	upperWall	(-1.091953e+01 -2.943699e-03 -3.029926e-20)	(-2.919110e+00 4.526903e-03 1.535858e-20)
1500          	lowerWall	(-1.104503e+01 -8.115925e+03 -1.979725e-18)	(2.388780e+02 8.913666e-02 2.456546e-18)
1600          	upperWall	(-1.093330e+01 -2.928110e-03 -3.003334e-20)	(-2.913479e+00 4.797485e-03 1.537779e-20)
1600          	lowerWall	(-1.105936e+01 -4.066295e+00 -1.941171e-18)	(3.178011e+00 9.441878e-02 2.474094e-18)
1700          	upperWall	(-1.093199e+01 -2.917594e-03 -2.979014e-20)	(-2.907452e+00 5.063125e-03 1.539875e-20)
1700          	lowerWall	(-1.105782e+01 -5.856259e+02 -1.857678e-18)	(5.453064e+00 1.240684e-01 2.338717e-18)
1800          	upperWall	(-1.092079e+01 -2.901726e-03 -2.950085e-20)	(-2.901290e+00 5.326207e-03 1.540593e-20)
1800          	lowerWall	(-1.104586e+01 -3.301559e+00 -1.732897e-18)	(3.203147e+00 6.863393e-02 2.242399e-18)
1900          	upperWall	(-1.092102e+01 -2.885004e-03 -2.920919e-20)	(-2.895221e+00 5.585161e-03 1.544149e-20)
1900          	lowerWall	(-1.104554e+01 -4.060237e+04 -1.851964e-18)	(1.357204e+03 1.451626e-01 2.324279e-18)
2000          	upperWall	(-1.091175e+01 -2.875958e-03 -2.896018e-20)	(-2.889265e+00 5.841259e-03 1.542009e-20)
2000          	lowerWall	(-1.103515e+01 -3.319872e+04 -2.058988e-18)	(1.139824e+03 6.601887e-02 2.523007e-18)
