# Wall shear stress
# Time        	patch         	min           	max           
1100          	upperWall	(-1.776369e+01 -3.880444e-03 -4.608257e-20)	(-4.416079e+00 1.206723e-03 1.824505e-20)
1100          	lowerWall	(-7.507099e+01 -5.323676e-01 -1.008375e-18)	(3.454329e+00 2.540518e+03 1.080666e-18)
1200          	upperWall	(-1.786995e+01 -3.877663e-03 -4.601486e-20)	(-4.412707e+00 1.558091e-03 1.820340e-20)
1200          	lowerWall	(-1.795750e+01 -2.322739e+01 -9.665087e-19)	(3.448954e+00 7.243015e-02 1.196860e-18)
1300          	upperWall	(-1.796972e+01 -3.875477e-03 -4.595985e-20)	(-4.409513e+00 2.117931e-03 1.816412e-20)
1300          	lowerWall	(-1.807473e+01 -6.860911e+00 -9.889831e-19)	(3.642750e+01 7.247657e-02 1.547578e-18)
1400          	upperWall	(-1.805223e+01 -3.872135e-03 -4.588469e-20)	(-4.405554e+00 2.654037e-03 1.811731e-20)
1400          	lowerWall	(-1.817357e+01 -3.623050e+00 -9.650113e-19)	(3.438092e+00 1.179479e-01 1.108143e-18)
1500          	upperWall	(-1.812330e+01 -3.869051e-03 -4.581189e-20)	(-4.401600e+00 3.163410e-03 1.806534e-20)
1500          	lowerWall	(-1.825996e+01 -2.626690e+04 -1.038820e-18)	(4.977195e+02 7.243507e-02 1.233909e-18)
1600          	upperWall	(-1.818799e+01 -3.865747e-03 -4.573733e-20)	(-4.397470e+00 3.647549e-03 1.801728e-20)
1600          	lowerWall	(-2.282077e+01 -3.123548e+00 -9.717286e-19)	(3.426895e+00 1.419978e+00 1.205962e-18)
1700          	upperWall	(-1.824095e+01 -3.862138e-03 -4.565482e-20)	(-4.393079e+00 4.112541e-03 1.796475e-20)
1700          	lowerWall	(-5.780787e+03 -5.062312e+04 -9.733100e-19)	(3.420590e+00 7.241044e-02 1.087151e-18)
1800          	upperWall	(-1.828627e+01 -3.858531e-03 -4.556765e-20)	(-4.388586e+00 4.554379e-03 1.790694e-20)
1800          	lowerWall	(-1.846184e+01 -5.280966e-01 -9.670218e-19)	(3.413401e+00 7.241253e-02 1.094707e-18)
1900          	upperWall	(-1.831854e+01 -3.855100e-03 -4.548761e-20)	(-4.384109e+00 4.978068e-03 1.785584e-20)
1900          	lowerWall	(-1.849944e+01 -5.274288e-01 -9.724042e-19)	(3.406931e+00 7.240019e-02 1.090731e-18)
2000          	upperWall	(-1.834186e+01 -3.850744e-03 -4.539306e-20)	(-4.379385e+00 5.381397e-03 1.779581e-20)
2000          	lowerWall	(-1.852918e+01 -5.266798e-01 -9.732686e-19)	(3.400183e+00 7.239064e-02 1.092124e-18)
